,off_passing_Team,off_passing_Att,off_passing_Cmp,off_passing_Cmp %,off_passing_Yds/Att,off_passing_Pass Yds,off_passing_TD,off_passing_INT,off_passing_Rate,off_passing_1st,off_passing_1st%,off_passing_20+,off_passing_40+,off_passing_Lng,off_passing_Sck,off_passing_SckY,off_rushing_Team,off_rushing_Att,off_rushing_Rush Yds,off_rushing_YPC,off_rushing_TD,off_rushing_20+,off_rushing_40+,off_rushing_Lng,off_rushing_Rush 1st,off_rushing_Rush 1st%,off_rushing_Rush FUM,off_receiving_Team,off_receiving_Rec,off_receiving_Yds,off_receiving_Yds/Rec,off_receiving_TD,off_receiving_20+,off_receiving_40+,off_receiving_Lng,off_receiving_Rec 1st,off_receiving_Rec 1st%,off_receiving_Rec FUM,off_scoring_Team,off_scoring_Rsh TD,off_scoring_Rec TD,off_scoring_Tot TD,off_scoring_2-PT,off_downs_Team,off_downs_3rd Att,off_downs_3rd Md,off_downs_4th Att,off_downs_4th Md,off_downs_Rec 1st,off_downs_Rec 1st%,off_downs_Rush 1st,off_downs_Rush 1st%,off_downs_Scrm Plys,def_passing_Team,def_passing_Att,def_passing_Cmp,def_passing_Cmp %,def_passing_Yds/Att,def_passing_Yds,def_passing_TD,def_passing_INT,def_passing_Rate,def_passing_1st,def_passing_1st%,def_passing_20+,def_passing_40+,def_passing_Lng,def_passing_Sck,def_rushing_Team,def_rushing_Att,def_rushing_Rush Yds,def_rushing_YPC,def_rushing_TD,def_rushing_20+,def_rushing_40+,def_rushing_Lng,def_rushing_Rush 1st,def_rushing_Rush 1st%,def_rushing_Rush FUM,def_receiving_Team,def_receiving_Rec,def_receiving_Yds,def_receiving_Yds/Rec,def_receiving_TD,def_receiving_20+,def_receiving_40+,def_receiving_Lng,def_receiving_Rec 1st,def_receiving_Rec 1st%,def_receiving_Rec FUM,def_receiving_PDef,def_scoring_Team,def_scoring_FR TD,def_scoring_SFTY,def_scoring_INT TD,def_downs_Team,def_downs_3rd Att,def_downs_3rd Md,def_downs_4th Att,def_downs_4th Md,def_downs_Rec 1st,def_downs_Rec 1st%,def_downs_Rush 1st,def_downs_Rush 1st%,def_downs_Scrm Plys,def_tackles_Team,def_tackles_Sck,def_tackles_Comb,def_tackles_Asst,def_tackles_Solo,def_fumbles_Team,def_fumbles_FF,def_fumbles_FR,def_fumbles_FR TD,def_fumbles_Rec FUM,def_fumbles_Rush FUM,def_interceptions_Team,def_interceptions_INT,def_interceptions_INT TD,def_interceptions_INT Yds,def_interceptions_Lng,st_field-goals_Team,st_field-goals_FGM,st_field-goals_Att,st_field-goals_FG %,st_field-goals_1-19 > A-M,st_field-goals_20-29 > A-M,st_field-goals_30-39 > A-M,st_field-goals_40-49 > A-M,st_field-goals_50+ > A-M,st_field-goals_Lng,st_field-goals_FG Blk,st_scoring_Team,st_scoring_FGM,st_scoring_FG %,st_scoring_XPM,st_scoring_XP Pct,st_scoring_KRet TD,st_scoring_PRet T,st_kickoffs_Team,st_kickoffs_KO,st_kickoffs_Yds,st_kickoffs_TB,st_kickoffs_TB %,st_kickoffs_Ret,st_kickoffs_Ret Avg,st_kickoffs_OSK,st_kickoffs_OSK Rec,st_kickoffs_OOB,st_kickoffs_TD,st_punting_Team,st_punting_Net Avg,st_punting_Net Yds,st_punting_Punts,st_punting_Avg,st_punting_Lng,st_punting_Yds,st_punting_IN 20,st_punting_OOB,st_punting_Dn,st_punting_TB,st_punting_FC,st_punting_Ret,st_punting_RetY,st_punting_TD,st_punting_P Blk,st_punt-returns_Team,st_punt-returns_Avg,st_punt-returns_Ret,st_punt-returns_Yds,st_punt-returns_PRet T,st_punt-returns_20+,st_punt-returns_40+,st_punt-returns_Lng,st_punt-returns_FC,st_punt-returns_FUM,st_punt-returns_P Blk,Year
8,Jets  Jets,497,303,61.0,8.0,3983,25,8,96.3,0,0.0,0,0,96T,62,399,Jets  Jets,564,2312,4.1,18,0,0,69,0,0.0,0,Jets  Jets,303,3983,13.1,25,0,0,96T,0,0.0,0,Jets  Jets,18,25,45,0,Jets  Jets,0,0,0,0,0,0.0,0,0.0,1123,Jets  Jets,507,267,52.7,7.2,3256,17,22,68.9,0,0.0,0,0,72T,49,Jets  Jets,433,1516,3.5,10,0,0,57,0,0.0,0,Jets  Jets,267,3626,13.6,17,0,0,72T,0,0.0,0,0,Jets  Jets,0,1,1,Jets  Jets,0,0,0,0,0,0.0,0,0.0,989,Jets  Jets,62,0,0,0,Jets  Jets,0,0,0,0,0,Jets  Jets,22,1,127,24,Jets  Jets,26,34,76.5,,,,,,55,0,Jets  Jets,26,76.5,43,95.6,0,0,Jets  Jets,0,0,0,0.0,0,0.0,0,0,0,0,Jets  Jets,0.0,0,74,40.2,66,2978,0,0,0,0,0,0,0,0,0,Jets  Jets,9.9,39,386,0,0,0,46,0,0,0,1985
9,Giants  Giants,497,275,55.3,7.7,3829,22,20,78.3,0,0.0,0,0,70T,52,396,Giants  Giants,581,2451,4.2,24,0,0,65T,0,0.0,0,Giants  Giants,275,3829,13.9,22,0,0,70T,0,0.0,0,Giants  Giants,24,22,48,0,Giants  Giants,0,0,0,0,0,0.0,0,0.0,1130,Giants  Giants,535,278,52.0,6.3,2838,20,24,65.5,0,0.0,0,0,58T,68,Giants  Giants,419,1482,3.5,9,0,0,42T,0,0.0,0,Giants  Giants,278,3377,12.1,20,0,0,58T,0,0.0,0,0,Giants  Giants,0,0,2,Giants  Giants,0,0,0,0,0,0.0,0,0.0,1022,Giants  Giants,52,0,0,0,Giants  Giants,0,0,0,0,0,Giants  Giants,24,2,339,56T,Giants  Giants,22,33,66.7,,,,,,52,0,Giants  Giants,22,66.7,45,95.7,0,0,Giants  Giants,0,0,0,0.0,0,0.0,0,0,0,0,Giants  Giants,0.0,0,81,42.9,68,3472,0,0,0,0,0,0,0,0,0,Giants  Giants,8.3,53,442,0,0,0,37,0,0,0,1985
10,Saints  Saints,508,260,51.2,6.4,3257,20,23,65.7,0,0.0,0,0,76T,58,461,Saints  Saints,431,1683,3.9,4,0,0,45,0,0.0,0,Saints  Saints,260,3257,12.5,20,0,0,76T,0,0.0,0,Saints  Saints,4,20,29,0,Saints  Saints,0,0,0,0,0,0.0,0,0.0,997,Saints  Saints,529,306,57.8,7.5,3653,26,21,81.4,0,0.0,0,0,65T,46,Saints  Saints,508,2162,4.3,19,0,0,48,0,0.0,0,Saints  Saints,306,3975,13.0,26,0,0,65T,0,0.0,0,0,Saints  Saints,0,0,2,Saints  Saints,0,0,0,0,0,0.0,0,0.0,1083,Saints  Saints,58,0,0,0,Saints  Saints,0,0,0,0,0,Saints  Saints,21,2,312,53,Saints  Saints,31,35,88.6,,,,,,55,0,Saints  Saints,31,88.6,27,93.1,0,0,Saints  Saints,0,0,0,0.0,0,0.0,0,0,0,0,Saints  Saints,0.0,0,89,42.3,58,3763,0,0,0,0,0,0,0,0,0,Saints  Saints,7.2,30,215,0,0,0,17,0,0,0,1985
11,Patriots  Patriots,457,255,55.8,7.6,3483,20,22,74.9,0,0.0,0,0,90T,39,315,Patriots  Patriots,565,2331,4.1,15,0,0,65T,0,0.0,0,Patriots  Patriots,255,3483,13.7,20,0,0,90T,0,0.0,0,Patriots  Patriots,15,20,41,0,Patriots  Patriots,0,0,0,0,0,0.0,0,0.0,1061,Patriots  Patriots,525,262,49.9,6.5,3059,14,23,61.2,0,0.0,0,0,88T,51,Patriots  Patriots,466,1655,3.6,15,0,0,24,0,0.0,0,Patriots  Patriots,262,3393,13.0,14,0,0,88T,0,0.0,0,0,Patriots  Patriots,0,2,1,Patriots  Patriots,0,0,0,0,0,0.0,0,0.0,1042,Patriots  Patriots,39,0,0,0,Patriots  Patriots,0,0,0,0,0,Patriots  Patriots,23,1,427,83,Patriots  Patriots,24,30,80.0,,,,,,50,0,Patriots  Patriots,24,80.0,40,97.6,0,2,Patriots  Patriots,0,0,0,0.0,0,0.0,0,0,0,0,Patriots  Patriots,0.0,0,92,43.0,75,3953,0,0,0,0,0,0,0,0,0,Patriots  Patriots,12.6,42,530,2,0,0,85T,0,0,0,1985
12,Vikings  Vikings,576,311,54.0,6.8,3931,22,29,67.3,0,0.0,0,0,57T,45,296,Vikings  Vikings,406,1516,3.7,19,0,0,37,0,0.0,0,Vikings  Vikings,311,3931,12.6,22,0,0,57T,0,0.0,0,Vikings  Vikings,19,22,43,0,Vikings  Vikings,0,0,0,0,0,0.0,0,0.0,1027,Vikings  Vikings,490,280,57.1,7.1,3241,20,22,74.1,0,0.0,0,0,70T,33,Vikings  Vikings,542,2223,4.1,16,0,0,59,0,0.0,0,Vikings  Vikings,280,3464,12.4,20,0,0,70T,0,0.0,0,0,Vikings  Vikings,0,1,1,Vikings  Vikings,0,0,0,0,0,0.0,0,0.0,1065,Vikings  Vikings,45,0,0,0,Vikings  Vikings,0,0,0,0,0,Vikings  Vikings,22,1,283,63,Vikings  Vikings,15,26,57.7,,,,,,49,0,Vikings  Vikings,15,57.7,41,95.3,0,0,Vikings  Vikings,0,0,0,0.0,0,0.0,0,0,0,0,Vikings  Vikings,0.0,0,67,42.8,62,2867,0,0,0,0,0,0,0,0,0,Vikings  Vikings,10.0,25,250,0,0,0,41,0,0,1,1985
13,Dolphins  Dolphins,576,343,59.5,7.4,4278,31,21,85.4,0,0.0,0,0,73,19,164,Dolphins  Dolphins,444,1729,3.9,19,0,0,33,0,0.0,0,Dolphins  Dolphins,343,4278,12.5,31,0,0,73,0,0.0,0,Dolphins  Dolphins,19,31,52,0,Dolphins  Dolphins,0,0,0,0,0,0.0,0,0.0,1039,Dolphins  Dolphins,487,257,52.8,7.8,3511,21,23,73.2,0,0.0,0,0,80T,38,Dolphins  Dolphins,509,2256,4.4,15,0,0,32,0,0.0,0,Dolphins  Dolphins,257,3789,14.7,21,0,0,80T,0,0.0,0,0,Dolphins  Dolphins,0,0,1,Dolphins  Dolphins,0,0,0,0,0,0.0,0,0.0,1034,Dolphins  Dolphins,19,0,0,0,Dolphins  Dolphins,0,0,0,0,0,Dolphins  Dolphins,23,1,265,61T,Dolphins  Dolphins,22,27,81.5,,,,,,49,0,Dolphins  Dolphins,22,81.5,50,96.2,0,0,Dolphins  Dolphins,0,0,0,0.0,0,0.0,0,0,0,0,Dolphins  Dolphins,0.0,0,59,43.7,63,2576,0,0,0,0,0,0,0,0,0,Dolphins  Dolphins,8.2,39,319,0,0,0,21,0,0,1,1985
14,Raiders  Raiders,506,269,53.2,6.9,3481,20,24,68.5,0,0.0,0,0,59,43,335,Raiders  Raiders,532,2262,4.3,18,0,0,61T,0,0.0,0,Raiders  Raiders,269,3481,12.9,20,0,0,59,0,0.0,0,Raiders  Raiders,18,20,42,0,Raiders  Raiders,0,0,0,0,0,0.0,0,0.0,1081,Raiders  Raiders,511,251,49.1,6.8,2998,22,17,71.9,0,0.0,0,0,62T,65,Raiders  Raiders,461,1605,3.5,7,0,0,23,0,0.0,0,Raiders  Raiders,251,3486,13.9,22,0,0,62T,0,0.0,0,0,Raiders  Raiders,0,1,3,Raiders  Raiders,0,0,0,0,0,0.0,0,0.0,1037,Raiders  Raiders,43,0,0,0,Raiders  Raiders,0,0,0,0,0,Raiders  Raiders,17,3,235,76T,Raiders  Raiders,20,32,62.5,,,,,,51,0,Raiders  Raiders,20,62.5,40,95.2,0,0,Raiders  Raiders,0,0,0,0.0,0,0.0,0,0,0,0,Raiders  Raiders,0.0,0,89,40.8,68,3627,0,0,0,0,0,0,0,0,0,Raiders  Raiders,11.1,71,785,0,0,0,32,0,0,0,1985
15,Rams  Rams,403,234,58.1,7.1,2872,16,14,78.9,0,0.0,0,0,64T,57,409,Rams  Rams,503,2057,4.1,15,0,0,43,0,0.0,0,Rams  Rams,234,2872,12.3,16,0,0,64T,0,0.0,0,Rams  Rams,15,16,39,0,Rams  Rams,0,0,0,0,0,0.0,0,0.0,963,Rams  Rams,548,296,54.0,6.4,3062,19,29,63.1,0,0.0,0,0,73,56,Rams  Rams,444,1586,3.6,9,0,0,36,0,0.0,0,Rams  Rams,296,3483,11.8,19,0,0,73,0,0.0,0,0,Rams  Rams,0,1,4,Rams  Rams,0,0,0,0,0,0.0,0,0.0,1048,Rams  Rams,57,0,0,0,Rams  Rams,0,0,0,0,0,Rams  Rams,29,4,359,46,Rams  Rams,22,29,75.9,,,,,,52,0,Rams  Rams,22,75.9,38,97.4,3,1,Rams  Rams,0,0,0,0.0,0,0.0,0,0,0,0,Rams  Rams,0.0,0,87,42.7,67,3761,0,0,0,0,0,0,0,0,1,Rams  Rams,13.2,38,501,1,0,0,80T,0,0,0,1985
16,Chiefs  Chiefs,511,267,52.3,7.3,3726,23,23,72.3,0,0.0,0,0,84T,43,335,Chiefs  Chiefs,428,1486,3.5,10,0,0,54,0,0.0,0,Chiefs  Chiefs,267,3726,14.0,23,0,0,84T,0,0.0,0,Chiefs  Chiefs,10,23,35,0,Chiefs  Chiefs,0,0,0,0,0,0.0,0,0.0,982,Chiefs  Chiefs,576,332,57.6,6.5,3489,22,27,70.5,0,0.0,0,0,56T,37,Chiefs  Chiefs,513,2169,4.2,18,0,0,50,0,0.0,0,Chiefs  Chiefs,332,3752,11.3,22,0,0,56T,0,0.0,0,0,Chiefs  Chiefs,0,0,1,Chiefs  Chiefs,0,0,0,0,0,0.0,0,0.0,1126,Chiefs  Chiefs,43,0,0,0,Chiefs  Chiefs,0,0,0,0,0,Chiefs  Chiefs,27,1,298,47T,Chiefs  Chiefs,24,27,88.9,,,,,,58,0,Chiefs  Chiefs,24,88.9,35,100.0,0,0,Chiefs  Chiefs,0,0,0,0.0,0,0.0,0,0,0,0,Chiefs  Chiefs,0.0,0,93,40.3,62,3827,0,0,0,0,0,0,0,0,2,Chiefs  Chiefs,8.9,43,381,0,0,0,57,0,0,0,1985
17,Colts  Colts,468,235,50.2,6.0,2811,15,20,61.8,0,0.0,0,0,80T,35,244,Colts  Colts,485,2439,5.0,22,0,0,67,0,0.0,0,Colts  Colts,235,2811,12.0,15,0,0,80T,0,0.0,0,Colts  Colts,22,15,39,0,Colts  Colts,0,0,0,0,0,0.0,0,0.0,988,Colts  Colts,504,275,54.6,7.4,3454,24,16,81.0,0,0.0,0,0,59,36,Colts  Colts,539,2145,4.0,20,0,0,28T,0,0.0,0,Colts  Colts,275,3721,13.5,24,0,0,59,0,0.0,0,0,Colts  Colts,0,1,0,Colts  Colts,0,0,0,0,0,0.0,0,0.0,1079,Colts  Colts,35,0,0,0,Colts  Colts,0,0,0,0,0,Colts  Colts,16,0,75,29,Colts  Colts,16,26,61.5,,,,,,41,0,Colts  Colts,16,61.5,36,92.3,0,1,Colts  Colts,0,0,0,0.0,0,0.0,0,0,0,0,Colts  Colts,0.0,0,78,44.8,68,3584,0,0,0,0,0,0,0,0,2,Colts  Colts,10.7,42,449,1,0,0,70T,0,0,0,1985
18,Oilers  Oilers,512,277,54.1,6.9,3523,18,22,69.7,0,0.0,0,0,80T,58,441,Oilers  Oilers,428,1570,3.7,13,0,0,43,0,0.0,0,Oilers  Oilers,277,3523,12.7,18,0,0,80T,0,0.0,0,Oilers  Oilers,13,18,32,0,Oilers  Oilers,0,0,0,0,0,0.0,0,0.0,998,Oilers  Oilers,462,260,56.3,7.9,3341,29,15,89.3,0,0.0,0,0,68T,41,Oilers  Oilers,588,2814,4.8,21,0,0,67,0,0.0,0,Oilers  Oilers,260,3654,14.1,29,0,0,68T,0,0.0,0,0,Oilers  Oilers,0,0,0,Oilers  Oilers,0,0,0,0,0,0.0,0,0.0,1091,Oilers  Oilers,58,0,0,0,Oilers  Oilers,0,0,0,0,0,Oilers  Oilers,15,0,144,55,Oilers  Oilers,21,27,77.8,,,,,,52,0,Oilers  Oilers,21,77.8,29,93.5,0,0,Oilers  Oilers,0,0,0,0.0,0,0.0,0,0,0,0,Oilers  Oilers,0.0,0,84,41.5,65,3490,0,0,0,0,0,0,0,0,0,Oilers  Oilers,8.3,30,250,0,0,0,23,0,0,3,1985
19,Packers  Packers,513,267,52.0,6.9,3552,21,27,66.0,0,0.0,0,0,63,50,389,Packers  Packers,470,2208,4.7,16,0,0,80,0,0.0,0,Packers  Packers,267,3552,13.3,21,0,0,63,0,0.0,0,Packers  Packers,16,21,40,0,Packers  Packers,0,0,0,0,0,0.0,0,0.0,1033,Packers  Packers,509,295,58.0,6.9,3126,22,15,81.2,0,0.0,0,0,61T,48,Packers  Packers,494,2047,4.1,17,0,0,65T,0,0.0,0,Packers  Packers,295,3509,11.9,22,0,0,61T,0,0.0,0,0,Packers  Packers,0,1,2,Packers  Packers,0,0,0,0,0,0.0,0,0.0,1051,Packers  Packers,50,0,0,0,Packers  Packers,0,0,0,0,0,Packers  Packers,15,2,262,80T,Packers  Packers,19,26,73.1,,,,,,46,0,Packers  Packers,19,73.1,38,95.0,0,0,Packers  Packers,0,0,0,0.0,0,0.0,0,0,0,0,Packers  Packers,0.0,0,82,39.8,66,3262,0,0,0,0,0,0,0,0,0,Packers  Packers,9.7,38,370,0,0,0,46,0,0,0,1985
20,Lions  Lions,462,254,55.0,7.2,3316,19,21,72.6,0,0.0,0,0,56,53,378,Lions  Lions,452,1538,3.4,13,0,0,29,0,0.0,0,Lions  Lions,254,3316,13.1,19,0,0,56,0,0.0,0,Lions  Lions,13,19,33,0,Lions  Lions,0,0,0,0,0,0.0,0,0.0,967,Lions  Lions,478,283,59.2,6.8,2906,16,18,75.1,0,0.0,0,0,50,45,Lions  Lions,560,2685,4.8,19,0,0,37T,0,0.0,0,Lions  Lions,283,3242,11.5,16,0,0,50,0,0.0,0,0,Lions  Lions,0,0,0,Lions  Lions,0,0,0,0,0,0.0,0,0.0,1083,Lions  Lions,53,0,0,0,Lions  Lions,0,0,0,0,0,Lions  Lions,18,0,136,22,Lions  Lions,26,31,83.9,,,,,,51,0,Lions  Lions,26,83.9,31,93.9,0,1,Lions  Lions,0,0,0,0.0,0,0.0,0,0,0,0,Lions  Lions,0.0,0,73,41.8,60,3054,0,0,0,0,0,0,0,0,0,Lions  Lions,10.6,38,403,1,0,0,63T,0,0,0,1985
21,Broncos  Broncos,617,329,53.3,6.4,3952,23,23,70.1,0,0.0,0,0,65T,38,307,Broncos  Broncos,497,1851,3.7,20,0,0,42,0,0.0,0,Broncos  Broncos,329,3952,12.0,23,0,0,65T,0,0.0,0,Broncos  Broncos,20,23,45,0,Broncos  Broncos,0,0,0,0,0,0.0,0,0.0,1152,Broncos  Broncos,547,277,50.6,6.6,3206,22,24,66.7,0,0.0,0,0,73,47,Broncos  Broncos,475,1973,4.2,10,0,0,61T,0,0.0,0,Broncos  Broncos,277,3584,12.9,22,0,0,73,0,0.0,0,0,Broncos  Broncos,0,0,1,Broncos  Broncos,0,0,0,0,0,0.0,0,0.0,1069,Broncos  Broncos,38,0,0,0,Broncos  Broncos,0,0,0,0,0,Broncos  Broncos,24,1,290,42T,Broncos  Broncos,23,38,60.5,,,,,,48,0,Broncos  Broncos,23,60.5,41,93.2,0,0,Broncos  Broncos,0,0,0,0.0,0,0.0,0,0,0,0,Broncos  Broncos,0.0,0,92,40.0,61,3764,0,0,0,0,0,0,0,0,2,Broncos  Broncos,9.3,46,429,0,0,0,38,0,0,2,1985
22,Cowboys  Cowboys,587,344,58.6,7.2,4236,27,25,78.6,0,0.0,0,0,58T,44,375,Cowboys  Cowboys,462,1741,3.8,11,0,0,60T,0,0.0,0,Cowboys  Cowboys,344,4236,12.3,27,0,0,58T,0,0.0,0,Cowboys  Cowboys,11,27,43,0,Cowboys  Cowboys,0,0,0,0,0,0.0,0,0.0,1093,Cowboys  Cowboys,549,279,50.8,7.7,3755,20,33,63.5,0,0.0,0,0,70T,62,Cowboys  Cowboys,465,1853,4.0,18,0,0,74T,0,0.0,0,Cowboys  Cowboys,279,4214,15.1,20,0,0,70T,0,0.0,0,0,Cowboys  Cowboys,0,0,4,Cowboys  Cowboys,0,0,0,0,0,0.0,0,0.0,1076,Cowboys  Cowboys,44,0,0,0,Cowboys  Cowboys,0,0,0,0,0,Cowboys  Cowboys,33,4,263,65T,Cowboys  Cowboys,19,28,67.9,,,,,,53,0,Cowboys  Cowboys,19,67.9,42,97.7,0,0,Cowboys  Cowboys,0,0,0,0.0,0,0.0,0,0,0,0,Cowboys  Cowboys,0.0,0,82,41.4,57,3439,0,0,0,0,0,0,0,0,1,Cowboys  Cowboys,5.9,40,237,0,0,0,28,0,0,1,1985
23,Browns  Browns,414,222,53.6,7.0,2885,17,13,76.4,0,0.0,0,0,72T,36,249,Browns  Browns,533,2285,4.3,16,0,0,61,0,0.0,0,Browns  Browns,222,2885,13.0,17,0,0,72T,0,0.0,0,Browns  Browns,16,17,35,0,Browns  Browns,0,0,0,0,0,0.0,0,0.0,983,Browns  Browns,509,289,56.8,6.8,3107,18,18,74.8,0,0.0,0,0,54T,44,Browns  Browns,497,1851,3.7,14,0,0,58T,0,0.0,0,Browns  Browns,289,3460,12.0,18,0,0,54T,0,0.0,0,0,Browns  Browns,0,0,1,Browns  Browns,0,0,0,0,0,0.0,0,0.0,1050,Browns  Browns,36,0,0,0,Browns  Browns,0,0,0,0,0,Browns  Browns,18,1,254,40,Browns  Browns,14,18,77.8,,,,,,45,0,Browns  Browns,14,77.8,35,100.0,0,1,Browns  Browns,0,0,0,0.0,0,0.0,0,0,0,0,Browns  Browns,0.0,0,81,40.3,64,3261,0,0,0,0,0,0,0,0,0,Browns  Browns,7.9,47,371,1,0,0,37T,0,0,0,1985
24,Bengals  Bengals,518,302,58.3,7.9,4082,31,13,93.0,0,0.0,0,0,71,41,365,Bengals  Bengals,503,2183,4.3,20,0,0,39,0,0.0,0,Bengals  Bengals,302,4082,13.5,31,0,0,71,0,0.0,0,Bengals  Bengals,20,31,53,0,Bengals  Bengals,0,0,0,0,0,0.0,0,0.0,1062,Bengals  Bengals,518,297,57.3,7.7,3664,26,19,83.5,0,0.0,0,0,72T,40,Bengals  Bengals,461,1999,4.3,23,0,0,56T,0,0.0,0,Bengals  Bengals,297,3998,13.5,26,0,0,72T,0,0.0,0,0,Bengals  Bengals,0,1,2,Bengals  Bengals,0,0,0,0,0,0.0,0,0.0,1019,Bengals  Bengals,41,0,0,0,Bengals  Bengals,0,0,0,0,0,Bengals  Bengals,19,2,283,57T,Bengals  Bengals,24,33,72.7,,,,,,53,0,Bengals  Bengals,24,72.7,48,96.0,0,0,Bengals  Bengals,0,0,0,0.0,0,0.0,0,0,0,0,Bengals  Bengals,0.0,0,62,40.7,64,2563,0,0,0,0,0,0,0,0,1,Bengals  Bengals,8.4,32,268,0,0,0,26,0,0,0,1985
25,Bears  Bears,432,237,54.9,7.6,3303,17,16,77.3,0,0.0,0,0,70T,43,227,Bears  Bears,610,2761,4.5,27,0,0,40T,0,0.0,0,Bears  Bears,237,3303,13.9,17,0,0,70T,0,0.0,0,Bears  Bears,27,17,51,0,Bears  Bears,0,0,0,0,0,0.0,0,0.0,1085,Bears  Bears,522,249,47.7,6.3,2816,16,34,51.2,0,0.0,0,0,90T,64,Bears  Bears,359,1319,3.7,6,0,0,37,0,0.0,0,Bears  Bears,249,3299,13.2,16,0,0,90T,0,0.0,0,0,Bears  Bears,0,3,4,Bears  Bears,0,0,0,0,0,0.0,0,0.0,945,Bears  Bears,43,0,0,0,Bears  Bears,0,0,0,0,0,Bears  Bears,34,4,512,90,Bears  Bears,31,37,83.8,,,,,,46,0,Bears  Bears,31,83.8,51,100.0,2,0,Bears  Bears,0,0,0,0.0,0,0.0,0,0,0,0,Bears  Bears,0.0,0,68,41.6,69,2870,0,0,0,0,0,0,0,0,1,Bears  Bears,9.3,54,503,0,0,0,47,0,0,1,1985
26,Bills  Bills,517,263,50.9,6.4,3331,9,31,52.1,0,0.0,0,0,60T,42,347,Bills  Bills,412,1611,3.9,13,0,0,77T,0,0.0,0,Bills  Bills,263,3331,12.7,9,0,0,60T,0,0.0,0,Bills  Bills,13,9,23,0,Bills  Bills,0,0,0,0,0,0.0,0,0.0,971,Bills  Bills,477,265,55.6,6.9,3078,24,20,76.5,0,0.0,0,0,96T,25,Bills  Bills,569,2462,4.3,20,0,0,69,0,0.0,0,Bills  Bills,265,3301,12.5,24,0,0,96T,0,0.0,0,0,Bills  Bills,0,0,0,Bills  Bills,0,0,0,0,0,0.0,0,0.0,1071,Bills  Bills,42,0,0,0,Bills  Bills,0,0,0,0,0,Bills  Bills,20,0,225,41,Bills  Bills,13,17,76.5,,,,,,49,0,Bills  Bills,13,76.5,23,100.0,0,0,Bills  Bills,0,0,0,0.0,0,0.0,0,0,0,0,Bills  Bills,0.0,0,92,41.5,67,3818,0,0,0,0,0,0,0,0,0,Bills  Bills,7.7,38,293,0,0,0,30,0,0,1,1985
27,Falcons  Falcons,462,254,55.0,6.5,3025,13,20,66.5,0,0.0,0,0,62T,69,531,Falcons  Falcons,560,2466,4.4,14,0,0,50,0,0.0,0,Falcons  Falcons,254,3025,11.9,13,0,0,62T,0,0.0,0,Falcons  Falcons,14,13,30,0,Falcons  Falcons,0,0,0,0,0,0.0,0,0.0,1091,Falcons  Falcons,535,289,54.0,7.7,3798,32,22,82.1,0,0.0,0,0,99T,42,Falcons  Falcons,437,2052,4.7,24,0,0,66T,0,0.0,0,Falcons  Falcons,289,4129,14.3,32,0,0,99T,0,0.0,0,0,Falcons  Falcons,0,0,1,Falcons  Falcons,0,0,0,0,0,0.0,0,0.0,1014,Falcons  Falcons,69,0,0,0,Falcons  Falcons,0,0,0,0,0,Falcons  Falcons,22,1,247,47,Falcons  Falcons,24,31,77.4,,,,,,52,0,Falcons  Falcons,24,77.4,29,100.0,1,0,Falcons  Falcons,0,0,0,0.0,0,0.0,0,0,0,0,Falcons  Falcons,0.0,0,89,42.2,68,3757,0,0,0,0,0,0,0,0,0,Falcons  Falcons,7.2,31,223,0,0,0,23,0,0,0,1985
0,Redskins  Redskins,542,276,50.9,7.6,4109,22,22,72.7,0,0.0,0,0,71T,28,240,Redskins  Redskins,474,1732,3.7,23,0,0,42,0,0.0,0,Redskins  Redskins,276,4109,14.9,22,0,0,71T,0,0.0,0,Redskins  Redskins,23,22,46,0,Redskins  Redskins,0,0,0,0,0,0.0,0,0.0,1044,Redskins  Redskins,532,302,56.8,7.4,3492,21,19,78.3,0,0.0,0,0,76T,55,Redskins  Redskins,459,1805,3.9,14,0,0,39,0,0.0,0,Redskins  Redskins,302,3916,13.0,21,0,0,76T,0,0.0,0,0,Redskins  Redskins,0,0,0,Redskins  Redskins,0,0,0,0,0,0.0,0,0.0,1046,Redskins  Redskins,28,0,0,0,Redskins  Redskins,0,0,0,0,0,Redskins  Redskins,19,0,126,31,Redskins  Redskins,18,32,56.3,,,,,,57,0,Redskins  Redskins,18,56.3,38,84.4,0,0,Redskins  Redskins,0,0,0,0.0,0,0.0,0,0,0,0,Redskins  Redskins,0.0,0,75,43.6,58,3271,0,0,0,0,0,0,0,0,0,Redskins  Redskins,10.8,51,550,0,0,0,44,0,0,0,1986
